millis,stamp,datetime,pressure,atm,inHg,altitude,celsius,fahrenheit,relativeHumidity,lightIntensity
60000,1369180551," ""2013/5/21 23:55:51""",98624,0.97,29.12,227.31,25.44,77.79,58.8,27
119999,1369180611," ""2013/5/21 23:56:51""",98627,0.97,29.12,227.05,25.44,77.79,58.25,28
180000,1369180671," ""2013/5/21 23:57:51""",98624,0.97,29.12,227.31,25.44,77.79,59.89,27
239998,1369180731," ""2013/5/21 23:58:51""",98627,0.97,29.12,227.05,25.5,77.9,58.25,25
299999,1369180791," ""2013/5/21 23:59:51""",98639,0.97,29.13,226.03,25.5,77.9,58.44,25
359999,1369180852," ""2013/5/22 0:0:52""",98642,0.97,29.13,225.77,25.5,77.9,58.44,27
420000,1369180912," ""2013/5/22 0:1:52""",98651,0.97,29.13,225.01,25.5,77.9,58.25,24
479998,1369180972," ""2013/5/22 0:2:52""",98645,0.97,29.13,225.52,25.5,77.9,58.44,26
539999,1369181032," ""2013/5/22 0:3:52""",98656,0.97,29.13,224.58,25.5,77.9,58.8,28
600000,1369181092," ""2013/5/22 0:4:52""",98642,0.97,29.13,225.77,25.5,77.9,58.62,27
659998,1369181152," ""2013/5/22 0:5:52""",98645,0.97,29.13,225.52,25.5,77.9,58.98,26
719998,1369181212," ""2013/5/22 0:6:52""",98651,0.97,29.13,225.01,25.5,77.9,58.98,25
779999,1369181273," ""2013/5/22 0:7:53""",98621,0.97,29.12,227.56,25.5,77.9,58.62,0
839999,1369181333," ""2013/5/22 0:8:53""",98621,0.97,29.12,227.56,25.5,77.9,58.44,0
900000,1369181393," ""2013/5/22 0:9:53""",98645,0.97,29.13,225.52,25.5,77.9,58.8,0
959998,1369181453," ""2013/5/22 0:10:53""",98618,0.97,29.12,227.82,25.5,77.9,58.62,0
1019999,1369181513," ""2013/5/22 0:11:53""",98651,0.97,29.13,225.01,25.5,77.9,58.62,0
1080000,1369181573," ""2013/5/22 0:12:53""",98642,0.97,29.13,225.77,25.5,77.9,58.98,0
1139998,1369181633," ""2013/5/22 0:13:53""",98636,0.97,29.13,226.28,25.5,77.9,58.62,0
1200000,1369181693," ""2013/5/22 0:14:53""",98648,0.97,29.13,225.26,25.5,77.9,58.98,0
1259999,1369181754," ""2013/5/22 0:15:54""",98636,0.97,29.13,226.28,25.5,77.9,58.8,0
1319999,1369181814," ""2013/5/22 0:16:54""",98642,0.97,29.13,225.77,25.44,77.79,59.52,0
1379999,1369181874," ""2013/5/22 0:17:54""",98636,0.97,29.13,226.28,25.44,77.79,59.16,0
1439998,1369181934," ""2013/5/22 0:18:54""",98639,0.97,29.13,226.03,25.44,77.79,59.71,0
1500000,1369181994," ""2013/5/22 0:19:54""",98645,0.97,29.13,225.52,25.44,77.79,59.71,0
1559999,1369182054," ""2013/5/22 0:20:54""",98659,0.97,29.13,224.33,25.44,77.79,59.34,0
1619999,1369182114," ""2013/5/22 0:21:54""",98665,0.97,29.13,223.82,25.44,77.79,59.89,0
1679998,1369182175," ""2013/5/22 0:22:55""",98671,0.97,29.14,223.31,25.44,77.79,59.71,0
1739999,1369182235," ""2013/5/22 0:23:55""",98654,0.97,29.13,224.75,25.44,77.79,60.07,0
1800000,1369182295," ""2013/5/22 0:24:55""",98648,0.97,29.13,225.26,25.44,77.79,59.52,0
1859998,1369182355," ""2013/5/22 0:25:55""",98648,0.97,29.13,225.26,25.37,77.68,59.34,0
1920000,1369182415," ""2013/5/22 0:26:55""",98639,0.97,29.13,226.03,25.37,77.68,59.71,0
1980000,1369182475," ""2013/5/22 0:27:55""",98654,0.97,29.13,224.75,25.37,77.68,59.89,0
2039999,1369182535," ""2013/5/22 0:28:55""",98627,0.97,29.12,227.05,25.37,77.68,60.25,0
2099999,1369182596," ""2013/5/22 0:29:56""",98633,0.97,29.13,226.54,25.31,77.56,59.71,0
2160000,1369182656," ""2013/5/22 0:30:56""",98630,0.97,29.12,226.79,25.31,77.56,60.25,0
